group,chem,dose,replicate,gene
Heterocyclic Amine,IQ,(450,s2,C1orf167
Nitro-PAH,6-Nitrochrysene,(50,s1,C1orf167
Nitro-PAH,"1,8-DNP",(8,s3,C1orf167
Other,AAII,(37.5,s6,GDAP2
PAH,DBADE,(0.0313,s3,GDAP2
PAH,DBADE,(0.109,s5,WDR3
Other,AAI,(1.25,s3,SPAG17
Alkylating Agent,ENU,(400,s4,SPAG17
Radiation,SSR,(1.25,s5,SPAG17
Control,DMSO,Control,s2,MTHFR
Nitro-PAH,6-Nitrochrysene,(50,s2,SPAG17
Nitro-PAH,6-Nitrochrysene,(50,s2,SPAG17
Aldehydes,Acetaldehyde,(12,s1,SPAG17
Drug Therapy,Mechlorethamine,(0.3,s1,SPAG17
Nitro-PAH,3-NBA,(0.1,s3,SPAG17
PAH,DBADE,(0.109,s6,SPAG17
Nitro-PAH,2-Nitrofluorene,(10,s1,SPAG17
Nitro-PAH,"1,8-DNP",(8,s2,SPAG17
Aromatic Amine,"2,6-Dimethylaniline",(3.8,s1,SPAG17
PAH,DBP,(0.0313,s2,SPAG17
Nitro-PAH,6-Nitrochrysene,(50,s1,SPAG17
Alkylating Agent,MNNG,(0.75,s3,SPAG17
Radiation,SSR,(1.25,s5,SPAG17
Radiation,SSR,(1.25,s5,SPAG17
Aromatic Amine,Benzidine,(200,s2,CLCN6
Drug Therapy,Melphalan,(1.5,s2,UBE2J2
Aldehydes,Formaldehyde,(120,s3,CLCN6
PAH,5-Methylchrysene,(1.6,s2,CLCN6
Other,AAII,(37.5,s4,CLCN6
Aromatic Amine,2-Naphthylamine,(200,s2,UBE2J2
PAH,BPDE,(0.125,s1,NPPA
PAH,DBADE,(0.0313,s2,NPPB
Drug Therapy,Ellipticine,(0.375,s2,TBX15
Drug Therapy,Ellipticine,(0.375,s1,TBX15
Drug Therapy,Temozolomide,(200,s2,TBX15
PAH,5-Methylchrysene,(1.6,s3,TBX15
Nitro-PAH,6-Nitrochrysene,(0.78,s2,TBX15
Radiation,SSR,(1.25,s5,TBX15
PAH,DBADE,(0.0313,s3,TBX15
PAH,DBADE,(0.109,s5,TBX15
Nitro-PAH,"1,8-DNP",(8,s1,TBX15
Nitro-PAH,3-NBA,(0.1,s2,WARS2
Drug Therapy,Temozolomide,(200,s2,WARS2
Aromatic Amine,o-Toluidine,(14,s1,WARS2
Alkylating Agent,DMH,(11.6,s1,WARS2
Control,DMSO,Control,s1,WARS2
Drug Therapy,Mechlorethamine,(0.3,s2,WARS2
Other,AAI,(1.25,s1,RP11-418J17.3
Control,MeOH,Control,s2,RP11-418J17.3
Drug Therapy,Cisplatin,(12.5,s2,HAO2
Other,Methyleugenol,(1.9,s3,PLOD1
PAH,DBP,(0.0313,s3,HAO2
Drug Therapy,Cisplatin,(12.5,s3,HSD3B2
PAH,DBADE,(0.109,s6,PLOD1
PAH,BPDE,(0.125,s1,ZNF697
Nitro-PAH,1-Nitropyrene,(1.75,s1,PLOD1
PAH,5-Methylchrysene,(1.6,s3,PHGDH
Other,AAI,(1.25,s3,PHGDH
DNA Damage Response Inhibitors,AZ20,(0.9375,s2,PHGDH
Drug Therapy,Temozolomide,(200,s2,PHGDH
Other,AAI,(1.25,s3,PHGDH
Control,DMSO,Control,s1,HMGCS2
ROS/NOS,Potassium,bromate,s5,HMGCS2
PAH,5-Methylchrysene,(1.6,s1,HMGCS2
PAH,DBAC,(5,s2,REG4
PAH,DBADE,(0.0313,s3,ADAM30
PAH,DBAC,(5,s1,NOTCH2
PAH,BPDE,(0.125,s1,NOTCH2
Other,Acrolein,(5,s1,NOTCH2
DNA Damage Response Inhibitors,AZD7762,(1.625,s2,NOTCH2
Alkylating Agent,DMH,(11.6,s2,MFN2
Nitro-PAH,3-NBA,(0.1,s3,NOTCH2
PAH,DBADE,(0.109,s6,NOTCH2
Nitrosamine,N-Nitrosopyrrolidine,(50,s2,NOTCH2
Nitrosamine,N-Nitrosopyrrolidine,(50,s2,NOTCH2
Metal,Potassium,chromate,s2,NOTCH2
Alkylating Agent,DMH,(11.6,s2,NOTCH2
Control,DMSO,Control,s3,NOTCH2
PAH,DBADE,(0.109,s6,NOTCH2
Nitro-PAH,3-NBA,(0.1,s2,MFN2
Other,Propylene,oxide,s1,MFN2
Alkylating Agent,ENU,(400,s1,RNU6-465P
Alkylating Agent,DMS,(0.078,s2,FAM72B
Alkylating Agent,DMH,(11.6,s1,RP11-439A17.4
PAH,5-Methylchrysene,(1.6,s2,RP11-439A17.4
PAH,BPDE,(0.125,s1,RP11-439A17.4
PAH,DBADE,(0.109,s1,FCGR1B
Drug Therapy,Olaparib,(0.625,s3,FCGR1B
Drug Therapy,Olaparib,(0.625,s3,FCGR1B
PAH,DBADE,(0.0313,s3,MIIP
PAH,DBA,(75,s2,RP11-343N15.1
Nitro-PAH,"1,6-DNP",(0.09,s2,RP11-343N15.1
Aromatic Amine,4-ABP,(300,s1,AL592494.5
PAH,DBP,(0.0313,s1,AL592494.5
Alkylating Agent,DMH,(11.6,s1,AL592494.5
PAH,DBADE,(0.109,s5,AL592494.5
PAH,DBPDE,(0.000625,s3,AL592494.5
Nitro-PAH,6-Nitrochrysene,(50,s2,AL592494.5
PAH,BaP,(0.39,s3,AL592494.5
Aromatic Amine,Benzidine,(200,s2,AL592494.5
Heterocyclic Amine,PhIP,(3,s3,SCNN1D
ROS/NOS,Potassium,bromate,s4,RP11-344P13.6
Alkylating Agent,DMS,(0.078,s1,TNFRSF8
Heterocyclic Amine,IQ,(450,s1,RP11-344P13.1
Drug Therapy,Cyclophosphamide,(60,s1,RP11-344P13.1
PAH,BPDE,(0.125,s1,TNFRSF8
PAH,DBADE,(0.0313,s2,TNFRSF8
Nitro-PAH,6-Nitrochrysene,(12.5,s3,TNFRSF8
Alkylating Agent,DMH,(11.6,s2,TNFRSF1B
Aromatic Amine,4-ABP,(300,s2,TNFRSF1B
Nitro-PAH,"1,8-DNP",(0.125,s3,TNFRSF1B
Nitro-PAH,3-NBA,(0.1,s2,VPS13D
PAH,DBADE,(0.0313,s1,VPS13D
Nitro-PAH,6-Nitrochrysene,(50,s2,VPS13D
PAH,DBADE,(0.109,s6,VPS13D
DNA Damage Response Inhibitors,AZD7762,(1.625,s2,VPS13D
PAH,DBADE,(0.0313,s3,VPS13D
Other,Propylene,oxide,s3,VPS13D
Other,Acrolein,(5,s1,VPS13D
PAH,DBP,(0.0039,s4,VPS13D
Nitro-PAH,6-Nitrochrysene,(12.5,s3,VPS13D
Nitro-PAH,6-Nitrochrysene,(50,s1,VPS13D
Aromatic Amine,2-Naphthylamine,(200,s1,VPS13D
PAH,DBADE,(0.109,s5,VPS13D
PAH,DBC,(1.5,s2,VPS13D
Aldehydes,Formaldehyde,(120,s2,DHRS3
Alkylating Agent,ENU,(400,s3,DHRS3
PAH,BPDE,(0.125,s2,AADACL4
Nitro-PAH,"1,8-DNP",(8,s2,AADACL4
Control,DMSO,Control,s1,AADACL4
Drug Therapy,Cisplatin,(12.5,s1,AADACL4
Nitro-PAH,"1,8-DNP",(0.125,s2,TAS1R3
ROS/NOS,Potassium,bromate,s1,AADACL3
PAH,5-Methylchrysene,(1.6,s3,DVL1
PAH,DBA,(75,s2,AADACL3
Nitrosamine,N-Nitrosopyrrolidine,(50,s2,C1orf158
Nitro-PAH,6-Nitrochrysene,(50,s1,C1orf158
Other,Styrene,oxide,s5,PRAMEF1
Control,NaCl,Control,s1,PRAMEF11
Drug Therapy,Ellipticine,(0.125,s1,PRAMEF11
Heterocyclic Amine,PhIP,(4,s3,MXRA8
PAH,BPDE,(0.125,s1,PRAMEF2
Control,DMSO,Control,s1,PRAMEF2
Nitro-PAH,6-Nitrochrysene,(50,s2,PRAMEF4
PAH,DBP,(0.0039,s1,PRAMEF4
PAH,DBADE,(0.109,s6,PRAMEF4
Control,DMSO,Control,s1,PRAMEF4
DNA Damage Response Inhibitors,AZD7762,(1.625,s1,PRAMEF10
Other,MX,(7,s2,PRAMEF7
Control,H2O,Control,s1,PRAMEF6
PAH,DBADE,(0.109,s5,PRAMEF6
Other,"1,4-Benzoquinone",(5,s1,PRAMEF6
Drug Therapy,Mechlorethamine,(0.3,s1,PRAMEF6
PAH,DBAC,(5,s2,PRAMEF6
Nitrosamine,N-Nitrosopyrrolidine,(50,s3,AURKAIP1
Aromatic Amine,o-Anisidine,(6,s1,CCNL2
Other,AAI,(1.25,s2,MRPL20
PAH,BaP,(0.39,s2,MRPL20
Control,NaCl,Control,s1,ANKRD65
Other,Propylene,oxide,s1,TMEM88B
Drug Therapy,Ellipticine,(0.625,s2,PRAMEF17
Radiation,SSR,(1.25,s4,VWA1
Alkylating Agent,MNU,(350,s3,LRRC38
Other,MX,(7,s2,LRRC38
Aromatic Amine,Benzidine,(200,s3,LRRC38
Other,Propylene,oxide,s2,LRRC38
PAH,DBADE,(0.109,s5,LRRC38
PAH,DBA,(75,s1,LRRC38
Alkylating Agent,ENU,(400,s4,LRRC38
Radiation,SSR,(1.25,s5,LRRC38
PAH,DBADE,(0.0313,s1,PDPN
PAH,BPDE,(0.125,s3,PDPN
Aldehydes,Formaldehyde,(120,s1,PDPN
Nitro-PAH,6-Nitrochrysene,(50,s1,PDPN
Radiation,SSR,(1.25,s4,ATAD3C
Nitro-PAH,6-Nitrochrysene,(50,s1,PDPN
Alkylating Agent,DES,(0.938,s2,ATAD3C
PAH,DBADE,(0.109,s6,ATAD3C
PAH,DBAC,(5,s2,PRDM2
Nitro-PAH,6-Nitrochrysene,(50,s1,PRDM2
PAH,BaP,(0.39,s3,PRDM2
PAH,BPDE,(0.125,s1,PRDM2
ROS/NOS,Peroxynitrite,(30,s2,PRDM2
PAH,BPDE,(0.125,s3,PRDM2
Control,DMSO,Control,s1,ATAD3B
Control,DMSO,Control,s1,ATAD3B
PAH,DBA,(75,s2,RP11-417J8.1
Control,Media,Control,s3,RP11-417J8.1
Drug Therapy,Cyclophosphamide,(18.75,s2,RP11-417J8.2
Drug Therapy,Cisplatin,(3.125,s6,RP11-417J8.2
Other,AAI,(1.25,s2,RP11-417J8.2
Aromatic Amine,4-ABP,(300,s1,RP11-417J8.2
Alkylating Agent,DMH,(11.6,s3,RP11-417J8.2
Drug Therapy,Ellipticine,(0.375,s2,RP11-417J8.2
Aromatic Amine,2-Naphthylamine,(400,s1,RP11-417J8.6
Other,OTA,(0.08,s1,RP11-417J8.6
Other,Sudan,I,s2,RP11-417J8.6
Heterocyclic Amine,IQ,(450,s2,RP11-417J8.6
PAH,5-Methylchrysene,(1.6,s3,RP11-417J8.6
Aldehydes,Acetaldehyde,(0.9,s1,RP11-417J8.6
PAH,DBADE,(0.0313,s3,RP11-417J8.6
Heterocyclic Amine,MeIQX,(300,s1,RP11-417J8.6
Drug Therapy,Melphalan,(1.5,s1,RP11-417J8.6
Drug Therapy,Carboplatin,(5,s3,RP11-417J8.6
Drug Therapy,Temozolomide,(200,s1,RP11-417J8.6
Nitro-PAH,6-Nitrochrysene,(50,s1,RP11-417J8.6
Drug Therapy,Cisplatin,(12.5,s1,RP11-417J8.6
Control,DMSO,Control,s1,RP11-417J8.6
Drug Therapy,Mechlorethamine,(0.3,s1,RP11-417J8.6
Aromatic Amine,Benzidine,(200,s2,RP11-417J8.6
Aromatic Amine,4-ABP,(40,s1,RP11-417J8.6
PAH,BPDE,(0.125,s2,RP11-417J8.6
PAH,DBA,(75,s1,RP11-417J8.6
PAH,DBPDE,(0.000625,s3,RP11-417J8.6
Other,Methyleugenol,(1.9,s3,RP11-417J8.6
PAH,DBADE,(0.109,s5,RP11-417J8.6
Other,Acrolein,(5,s1,RP11-417J8.6
Other,OTA,(0.08,s1,RP11-423O2.7
Nitro-PAH,6-Nitrochrysene,(50,s2,RP11-782C8.2
Aromatic Amine,"2,6-Dimethylaniline",(11,s1,RP11-782C8.2
Other,MX,(2.5,s5,RP11-782C8.2
ROS/NOS,Peroxynitrite,(30,s2,RP11-782C8.2
Other,OTA,(0.08,s1,RP11-782C8.2
Other,Propylene,oxide,s3,RP11-782C8.2
Other,Methyleugenol,(1.9,s2,RP11-782C8.2
PAH,5-Methylchrysene,(1.6,s2,RP11-782C8.2
Nitro-PAH,2-Nitrofluorene,(40,s2,RP11-782C8.2
Drug Therapy,Ellipticine,(0.375,s3,RP11-782C8.2
Nitro-PAH,6-Nitrochrysene,(0.78,s5,RP11-782C8.2
Other,OTA,(0.08,s1,RP11-782C8.2
Aldehydes,Acetaldehyde,(0.9,s1,RP11-782C8.2
Other,AAI,(1.25,s2,RP11-782C8.2
Other,Furan,(100,s2,RP11-782C8.2
Other,AAI,(1.25,s3,RP11-782C8.1
Aldehydes,Formaldehyde,(120,s2,RP11-782C8.1
Other,Furan,(100,s2,RP11-782C8.1
Drug Therapy,Ellipticine,(0.625,s1,RP11-435B5.5
Heterocyclic Amine,PhIP,(4,s5,RP11-435B5.5
Nitro-PAH,6-Nitrochrysene,(0.78,s5,RP11-435B5.5
Aromatic Amine,2-Naphthylamine,(200,s4,RP11-435B5.5
Heterocyclic Amine,MeIQX,(300,s3,RP11-435B5.5
Alkylating Agent,DMH,(9,s3,RP11-435B5.4
PAH,DBA,(75,s1,RP11-435B5.4
Control,NaCl,Control,s1,RP11-435B5.4
ROS/NOS,Potassium,bromate,s1,RP11-435B5.4
PAH,DBADE,(0.0313,s3,RP11-435B5.4
Nitro-PAH,1-Nitropyrene,(2.5,s1,RP11-435B5.4
Control,Media,Control,s3,RP11-435B5.4
Other,Propylene,oxide,s2,RP11-435B5.4
Nitro-PAH,"1,6-DNP",(0.09,s3,RP11-435B5.4
PAH,BaP,(2,s3,RP11-435B5.4
Nitro-PAH,1-Nitropyrene,(1.75,s2,RP11-435B5.4
Heterocyclic Amine,PhIP,(3,s3,RP11-435B5.4
Nitro-PAH,6-Nitrochrysene,(50,s2,RP11-435B5.4
PAH,DBP,(0.0039,s4,RP11-435B5.4
Control,DMSO,Control,s1,RP11-435B5.6
PAH,DBPDE,(0.000625,s2,RP11-435B5.6
Heterocyclic Amine,MeIQX,(300,s3,RP11-435B5.7
ROS/NOS,H2O2,(24.5,s1,RP11-435B5.7
Drug Therapy,Cyclophosphamide,(60,s2,RP11-435B5.7
PAH,5-Methylchrysene,(1.6,s2,RP6-206I17.1
PAH,DBP,(0.0039,s3,RP6-206I17.1
Nitro-PAH,6-Nitrochrysene,(0.78,s2,PPIAL4G
PAH,DBP,(0.0313,s1,PPIAL4G
Nitro-PAH,2-Nitrofluorene,(10,s1,PPIAL4G
Aromatic Amine,Benzidine,(900,s3,FAM72D
Nitro-PAH,3-NBA,(0.1,s3,RP11-289H16.1
Nitro-PAH,6-Nitrochrysene,(0.78,s2,ATAD3A
Aromatic Amine,MOCA,(37.5,s3,PDE4DIP
PAH,DBPDE,(0.000625,s3,PDE4DIP
Drug Therapy,Bleomycin,(0.188,s1,PDE4DIP
Heterocyclic Amine,MeIQX,(300,s1,PDE4DIP
Drug Therapy,Cisplatin,(12.5,s3,PDE4DIP
Alkylating Agent,DMH,(11.6,s1,PDE4DIP
PAH,DBADE,(0.0313,s2,PDE4DIP
Other,Glycidamide,(475,s6,PDE4DIP
PAH,BPDE,(0.125,s1,PDE4DIP
PAH,DBADE,(0.109,s6,PDE4DIP
Aldehydes,Formaldehyde,(120,s3,PDE4DIP
PAH,DBADE,(0.109,s1,PDE4DIP
Control,H2O,Control,s1,PDE4DIP
Control,DMSO,Control,s2,PDE4DIP
PAH,DBP,(0.0313,s3,PDE4DIP
Aromatic Amine,2-Naphthylamine,(200,s1,PDE4DIP
Nitro-PAH,6-Nitrochrysene,(0.78,s2,PDE4DIP
Alkylating Agent,DMH,(11.6,s3,RP11-458D21.6
Drug Therapy,Carboplatin,(5,s3,NOTCH2NL
PAH,DBPDE,(0.000156,s2,NOTCH2NL
Other,Methyleugenol,(1.9,s2,NOTCH2NL
Drug Therapy,Carboplatin,(5,s3,NBPF10
Heterocyclic Amine,MeIQX,(300,s1,NBPF10
Control,Media,Control,s2,NBPF10
PAH,DBADE,(0.109,s6,RP11-458D21.1
Nitro-PAH,6-Nitrochrysene,(0.78,s5,HFE2
PAH,BPDE,(0.125,s2,TXNIP
Alkylating Agent,MNU,(350,s1,POLR3GL
PAH,DBADE,(0.0313,s3,ANKRD34A
Radiation,SSR,(1.25,s4,LIX1L
PAH,BPDE,(0.125,s2,LIX1L
Other,AAII,(37.5,s4,LIX1L
Control,DMSO,Control,s2,LIX1L
PAH,DBADE,(0.0313,s3,RP11-344F13.1
Nitro-PAH,"1,8-DNP",(8,s2,ITGA10
Drug Therapy,Semustine,(700,s3,ITGA10
Alkylating Agent,DMS,(0.078,s3,ANKRD35
PAH,DBA,(75,s2,ANKRD35
Nitro-PAH,6-Nitrochrysene,(50,s1,RNF115
Alkylating Agent,DES,(0.938,s2,RNF115
Alkylating Agent,DES,(0.938,s2,CD160
PAH,DBADE,(0.0313,s3,PDZK1
PAH,DBADE,(0.0313,s1,PDZK1
Aldehydes,Acetaldehyde,(12,s3,GPR89A
Alkylating Agent,ENU,(400,s1,GPR89A
PAH,BPDE,(0.125,s1,GPR89A
Heterocyclic Amine,PhIP,(4,s4,GPR89A
Radiation,SSR,(1.25,s5,GPR89A
PAH,DBADE,(0.0313,s1,GPR89A
PAH,DBA,(75,s1,ATAD3A
Nitro-PAH,2-Nitrofluorene,(40,s1,PRKAB2
Nitro-PAH,3-NBA,(0.1,s3,PRKAB2
Control,Media,Control,s4,FMO5
PAH,BPDE,(0.125,s1,FMO5
Control,MeOH,Control,s1,CHD1L
Other,Propylene,oxide,s3,CHD1L
Drug Therapy,Melphalan,(1.5,s2,CHD1L
Aldehydes,Acetaldehyde,(12,s3,BCL9
Alkylating Agent,DMH,(11.6,s2,BCL9
Drug Therapy,Semustine,(150,s2,BCL9
Drug Therapy,Semustine,(150,s2,BCL9
Control,Media,Control,s4,ACP6
PAH,BPDE,(0.125,s2,ACP6
Drug Therapy,Semustine,(700,s2,RP11-533N14.3
Alkylating Agent,MNU,(350,s2,RP11-533N14.3
PAH,DBA,(75,s2,ATAD3A
PAH,DBADE,(0.109,s1,RP11-433J22.3
PAH,DBADE,(0.109,s1,RP11-433J22.3
Aldehydes,Formaldehyde,(85.5,s1,GJA8
Nitro-PAH,3-NBA,(0.1,s2,GPR89B
PAH,5-Methylchrysene,(1.6,s1,GPR89B
PAH,BPDE,(0.125,s1,SSU72
PAH,DBAC,(5,s3,RNU1-120P
Drug Therapy,Ellipticine,(0.375,s3,RP11-495P10.6
PAH,DBADE,(0.0313,s1,RP11-495P10.6
PAH,BPDE,(0.125,s1,RP11-495P10.5
PAH,DBADE,(0.0313,s3,RP11-495P10.5
Nitro-PAH,6-Nitrochrysene,(0.78,s2,RP11-495P10.3
Control,DMSO,Control,s1,RP6-74O6.6
Radiation,SSR,(1.25,s4,RP6-74O6.6
Drug Therapy,Semustine,(150,s1,SSU72
PAH,DBADE,(0.109,s6,RNVU1-13
Alkylating Agent,DES,(0.938,s2,NBPF14
PAH,DBP,(0.0039,s3,SSU72
PAH,DBP,(0.0039,s3,SSU72
PAH,DBC,(1.5,s1,RNVU1-14
Metal,Nickel,(II),s1,NBPF20
Aldehydes,Acetaldehyde,(12,s1,NBPF20
Aromatic Amine,MOCA,(5,s2,SSU72
PAH,DBP,(0.0313,s1,NBPF15
PAH,DBC,(1.5,s1,NBPF15
Control,Media,Control,s3,NBPF15
Nitro-PAH,6-Nitrochrysene,(12.5,s1,NBPF15
Metal,Potassium,chromate,s6,RNVU1-15
Nitro-PAH,6-Nitrochrysene,(0.78,s1,RNA5SP59
Aromatic Amine,Benzidine,(900,s1,RP11-14N7.2
Nitro-PAH,"1,8-DNP",(8,s2,RP11-14N7.2
PAH,DBADE,(0.109,s1,RP11-14N7.2
Other,AAI,(1.25,s3,RP11-14N7.2
Radiation,SSR,(1.25,s6,RP11-14N7.2
Aromatic Amine,o-Toluidine,(14,s3,RP11-403I13.5
PAH,BPDE,(0.125,s3,RP11-403I13.5
Radiation,SSR,(1.25,s5,RP11-403I13.4
ROS/NOS,Peroxynitrite,(30,s2,RP11-403I13.4
Nitro-PAH,6-Nitrochrysene,(50,s2,LINC00869
PAH,DBADE,(0.109,s6,RP11-403I13.8
Aromatic Amine,"2,6-Dimethylaniline",(11,s1,RP11-403I13.8
Alkylating Agent,DMH,(11.6,s3,RP11-403I13.9
Nitro-PAH,3-NBA,(0.025,s1,RP11-403I13.9
Nitrosamine,N-Nitrosopyrrolidine,(50,s3,RP11-403I13.9
Other,AAI,(1.25,s3,RP11-403I13.9
PAH,DBADE,(0.109,s1,RP11-403I13.9
Nitro-PAH,6-Nitrochrysene,(50,s1,RP5-998N21.4
PAH,BaP,(2,s2,KAZN
Nitro-PAH,2-Nitrofluorene,(10,s2,RP11-277L2.5
PAH,DBADE,(0.109,s6,RP11-353N4.5
PAH,BPDE,(0.125,s1,RP11-353N4.5
Nitro-PAH,6-Nitrochrysene,(12.5,s2,RP11-353N4.4
Alkylating Agent,DMH,(11.6,s3,RP11-353N4.5
PAH,DBADE,(0.0313,s1,KAZN
Other,AAI,(1.25,s2,RP11-353N4.5
Nitro-PAH,6-Nitrochrysene,(12.5,s3,FCGR1A
PAH,BPDE,(0.125,s1,HIST2H2BF
Nitro-PAH,"1,8-DNP",(8,s3,KAZN
PAH,DBADE,(0.109,s5,HIST2H2BE
PAH,5-Methylchrysene,(1.6,s3,SV2A
Other,MX,(7,s1,SV2A
Aromatic Amine,o-Anisidine,(6,s1,MTMR11
Drug Therapy,Cisplatin,(3.125,s4,OTUD7B
Aldehydes,Formaldehyde,(120,s1,VPS45
Nitro-PAH,"1,8-DNP",(8,s3,KAZN
PAH,DBADE,(0.0313,s3,ANP32E
Control,DMSO,Control,s1,ANP32E
Other,Glycidamide,(475,s2,ANP32E
Other,Glycidamide,(475,s2,ANP32E
PAH,DBADE,(0.0313,s3,APH1A
Drug Therapy,Semustine,(150,s3,C1orf51
PAH,DBP,(0.0039,s1,C1orf51
Metal,Cobalt,(II),s1,MRPS21
Drug Therapy,Cisplatin,(12.5,s3,MRPS21
Nitro-PAH,3-NBA,(0.1,s3,MRPS21
PAH,DBADE,(0.109,s6,MRPS21
Nitro-PAH,"1,8-DNP",(8,s2,PRPF3
Nitro-PAH,"1,8-DNP",(8,s1,PRPF3
Drug Therapy,Camptothecin,(0.0063,s1,PRPF3
Alkylating Agent,DMH,(11.6,s3,KAZN
Aromatic Amine,MOCA,(5,s2,RPRD2
PAH,DBADE,(0.0313,s1,RPRD2
Other,"1,4-Benzoquinone",(5,s3,RPRD2
Radiation,SSR,(1.25,s4,RPRD2
Alkylating Agent,ENU,(400,s4,TARS2
Nitro-PAH,6-Nitrochrysene,(50,s1,ECM1
Drug Therapy,Camptothecin,(0.0063,s2,GOLPH3L
Nitro-PAH,"1,8-DNP",(8,s1,KAZN
Heterocyclic Amine,PhIP,(4,s5,HORMAD1
Aromatic Amine,2-Naphthylamine,(200,s2,HORMAD1
Drug Therapy,Ellipticine,(0.375,s3,CTSS
Nitro-PAH,6-Nitrochrysene,(50,s2,CTSS
PAH,DBADE,(0.0313,s2,CTSS
PAH,DBPDE,(0.000625,s3,CTSK
Drug Therapy,Etoposide,(0.0188,s1,CTSK
Drug Therapy,Temozolomide,(200,s1,CTSK
PAH,DBADE,(0.0313,s1,KAZN
Aldehydes,Formaldehyde,(85.5,s3,ARNT
PAH,DBP,(0.0313,s3,ARNT
PAH,DBADE,(0.109,s1,ARNT
Nitro-PAH,6-Nitrochrysene,(0.78,s5,ARNT
Nitro-PAH,"1,8-DNP",(0.125,s3,SETDB1
PAH,DBA,(75,s1,CERS2
PAH,DBAC,(5,s2,ANXA9
PAH,DBADE,(0.109,s1,FAM63A
Alkylating Agent,DMH,(11.6,s1,PRUNE
Aromatic Amine,Benzidine,(200,s2,GABPB2
Radiation,SSR,(1.25,s5,SSU72
Nitro-PAH,6-Nitrochrysene,(0.78,s2,GABPB2
Alkylating Agent,ENU,(400,s3,GABPB2
Nitro-PAH,6-Nitrochrysene,(0.78,s2,GABPB2
Nitro-PAH,6-Nitrochrysene,(50,s1,GABPB2
Other,AFB1,(0.25,s1,GABPB2
Nitro-PAH,6-Nitrochrysene,(50,s1,GABPB2
Drug Therapy,Melphalan,(1.5,s3,SEMA6C
PAH,BPDE,(0.125,s1,KAZN
Nitro-PAH,6-Nitrochrysene,(0.78,s5,KAZN
Nitro-PAH,6-Nitrochrysene,(50,s1,PIP5K1A
Other,AAI,(1.25,s3,PIP5K1A
Alkylating Agent,ENU,(400,s1,PSMD4
Alkylating Agent,DES,(0.938,s2,ZNF687
Radiation,SSR,(1.25,s4,ZNF687
Alkylating Agent,DMH,(11.6,s2,ZNF687
Drug Therapy,Temozolomide,(200,s1,RFX5
Nitro-PAH,6-Nitrochrysene,(50,s2,RFX5
Nitro-PAH,6-Nitrochrysene,(50,s1,KAZN
PAH,DBADE,(0.0313,s1,SELENBP1
PAH,DBADE,(0.109,s6,CGN
Drug Therapy,Cisplatin,(3.125,s6,KAZN
Control,Media,Control,s1,TUFT1
Alkylating Agent,MNU,(350,s1,TUFT1
Alkylating Agent,ENU,(400,s1,TUFT1
Aromatic Amine,o-Anisidine,(6,s2,TUFT1
PAH,DBADE,(0.109,s6,KAZN
Other,Glycidamide,(475,s5,SNX27
PAH,BPDE,(0.125,s3,SNX27
Drug Therapy,Cisplatin,(12.5,s3,SNX27
Drug Therapy,Cisplatin,(12.5,s3,SNX27
Nitro-PAH,3-NBA,(0.1,s4,SNX27
Nitro-PAH,6-Nitrochrysene,(50,s1,CELF3
Nitro-PAH,6-Nitrochrysene,(50,s2,KAZN
Control,Media,Control,s3,RNU6-662P
Nitrosamine,N-Nitrosopyrrolidine,(50,s3,RNU6-662P
Drug Therapy,Semustine,(700,s3,RNU6-662P
PAH,DBADE,(0.109,s1,RNU6-662P
Radiation,SSR,(1.25,s5,KAZN
Nitro-PAH,6-Nitrochrysene,(50,s2,TDRKH
Nitro-PAH,3-NBA,(0.025,s2,TDRKH
ROS/NOS,Potassium,bromate,s1,LINGO4
PAH,BPDE,(0.125,s1,RORC
PAH,DBADE,(0.109,s6,RORC
PAH,5-Methylchrysene,(1.6,s1,RORC
Aromatic Amine,"2,6-Dimethylaniline",(11,s2,KAZN
PAH,BPDE,(0.125,s1,THEM4
Aromatic Amine,MOCA,(37.5,s2,THEM4
PAH,BPDE,(0.125,s3,THEM4
PAH,5-Methylchrysene,(1.6,s1,KAZN
Nitro-PAH,"1,8-DNP",(8,s3,TCHHL1
PAH,BPDE,(0.125,s1,TCHH
PAH,DBADE,(0.109,s5,KAZN
PAH,DBADE,(0.109,s5,RPTN
Drug Therapy,Ellipticine,(0.625,s1,RPTN
Alkylating Agent,MNU,(350,s2,RP11-107M16.2
Aromatic Amine,2-Naphthylamine,(200,s4,HRNR
Heterocyclic Amine,PhIP,(3,s2,KAZN
Drug Therapy,Cisplatin,(12.5,s2,FLG
PAH,DBADE,(0.109,s6,FLG
Heterocyclic Amine,PhIP,(3,s2,FLG
PAH,DBPDE,(0.000156,s2,FLG
PAH,BaP,(0.39,s1,FLG
Drug Therapy,Carboplatin,(5,s2,FLG
Drug Therapy,Camptothecin,(0.0063,s1,FLG2
Nitro-PAH,1-Nitropyrene,(1.75,s1,FLG2
Other,Methyleugenol,(1.25,s3,CRNN
Nitro-PAH,3-NBA,(0.025,s1,CRNN
PAH,BPDE,(0.125,s2,CRNN
Drug Therapy,Mitomycin,C,s2,CRNN
Control,Media,Control,s2,CRNN
PAH,BPDE,(0.125,s1,CRNN
Nitro-PAH,6-Nitrochrysene,(50,s1,CRNN
Control,Media,Control,s1,KAZN
Heterocyclic Amine,MeIQX,(300,s3,LCE5A
